会社名,業種,公式サイトURL,年商
日清オイリオグループ株式会社,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,135億4,100万円"
ケイエス冷凍食品株式会社,食品製造（冷凍食品）,https://www.ks-frozen.co.jp/,"112億9,700万円"
キンキサイン株式会社,飲料製造（清涼飲料）,https://kinkisain.co.jp/?srsltid=AfmBOop2jvrwvLuh27WKzUhHXQwsmfsZM-nHyp_rW8XmI0VnjLQ769RM,270億円
三和油脂株式会社,食品製造（食用油）,https://sanwa-yushi.co.jp/,約65億円
オリジン東秀株式会社,飲食店,https://www.toshu.co.jp/,487億30百万円
